State,Year,Table,Measure,Characteristic Label,Format,Value
Montana,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.941136085
Montana,2013,"Child Victims, Trend",Victims (unique count),Total,Number,1414
Montana,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.313289161
Montana,2014,"Child Victims, Trend",Victims (unique count),Total,Number,1191
Montana,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.288514909
Montana,2015,"Child Victims, Trend",Victims (unique count),Total,Number,1868
Montana,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.25015458
National,2011,"Child Victims, Trend",Victims (unique count),Total,Number,651180
National,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.809179956
National,2012,"Child Victims, Trend",Victims (unique count),Total,Number,656372
National,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.804825776
National,2013,"Child Victims, Trend",Victims (unique count),Total,Number,656361
National,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.822111116
National,2014,"Child Victims, Trend",Victims (unique count),Total,Number,675693
National,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.085426022
National,2015,"Child Victims, Trend",Victims (unique count),Total,Number,683487
National,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.188814326
Nebraska,2011,"Child Victims, Trend",Victims (unique count),Total,Number,4307
Nebraska,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.341112171
Nebraska,2012,"Child Victims, Trend",Victims (unique count),Total,Number,3888
Nebraska,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.398714271
Nebraska,2013,"Child Victims, Trend",Victims (unique count),Total,Number,3993
Nebraska,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.585102815
Nebraska,2014,"Child Victims, Trend",Victims (unique count),Total,Number,3940
Nebraska,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.428095935
Nebraska,2015,"Child Victims, Trend",Victims (unique count),Total,Number,3483
Nebraska,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,7.40532852
Nevada,2011,"Child Victims, Trend",Victims (unique count),Total,Number,5331
Nevada,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.08912452
Nevada,2012,"Child Victims, Trend",Victims (unique count),Total,Number,5437
Nevada,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.264249256
Nevada,2013,"Child Victims, Trend",Victims (unique count),Total,Number,5438
Nevada,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.256595179
Nevada,2014,"Child Victims, Trend",Victims (unique count),Total,Number,4589
Nevada,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.924994567
Nevada,2015,"Child Victims, Trend",Victims (unique count),Total,Number,4953
Nevada,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,7.401772958
New Hampshire,2011,"Child Victims, Trend",Victims (unique count),Total,Number,876
New Hampshire,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.12006924
New Hampshire,2012,"Child Victims, Trend",Victims (unique count),Total,Number,901
New Hampshire,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.26677713
New Hampshire,2013,"Child Victims, Trend",Victims (unique count),Total,Number,822
New Hampshire,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.032684368
New Hampshire,2014,"Child Victims, Trend",Victims (unique count),Total,Number,646
New Hampshire,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,2.415558289
New Hampshire,2015,"Child Victims, Trend",Victims (unique count),Total,Number,745
New Hampshire,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,2.821991076
New Jersey,2011,"Child Victims, Trend",Victims (unique count),Total,Number,8238
New Jersey,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.018156331
New Jersey,2012,"Child Victims, Trend",Victims (unique count),Total,Number,9031
New Jersey,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.438472529
New Jersey,2013,"Child Victims, Trend",Victims (unique count),Total,Number,9490
New Jersey,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.693943971
New Jersey,2014,"Child Victims, Trend",Victims (unique count),Total,Number,11842
New Jersey,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.884863993
New Jersey,2015,"Child Victims, Trend",Victims (unique count),Total,Number,9689
New Jersey,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.847357517
New Mexico,2011,"Child Victims, Trend",Victims (unique count),Total,Number,5601
New Mexico,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.8488693
New Mexico,2012,"Child Victims, Trend",Victims (unique count),Total,Number,5882
New Mexico,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.48875247
New Mexico,2013,"Child Victims, Trend",Victims (unique count),Total,Number,6530
New Mexico,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,12.88308942
New Mexico,2014,"Child Victims, Trend",Victims (unique count),Total,Number,7606
New Mexico,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.16943457
New Mexico,2015,"Child Victims, Trend",Victims (unique count),Total,Number,8701
New Mexico,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,17.51028359
New York,2011,"Child Victims, Trend",Victims (unique count),Total,Number,72625
New York,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,16.88985697
New York,2012,"Child Victims, Trend",Victims (unique count),Total,Number,68375
New York,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,16.00594965
New York,2013,"Child Victims, Trend",Victims (unique count),Total,Number,64578
New York,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.1929539
New York,2014,"Child Victims, Trend",Victims (unique count),Total,Number,65042
New York,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.38287615
New York,2015,"Child Victims, Trend",Victims (unique count),Total,Number,66676
New York,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.83445683
North Carolina,2011,"Child Victims, Trend",Victims (unique count),Total,Number,9132
North Carolina,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.999579545
North Carolina,2012,"Child Victims, Trend",Victims (unique count),Total,Number,8919
North Carolina,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.908984089
North Carolina,2013,"Child Victims, Trend",Victims (unique count),Total,Number,7823
North Carolina,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.427485869
North Carolina,2014,"Child Victims, Trend",Victims (unique count),Total,Number,8414
North Carolina,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.680086985
North Carolina,2015,"Child Victims, Trend",Victims (unique count),Total,Number,7857
North Carolina,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.430153569
North Dakota,2011,"Child Victims, Trend",Victims (unique count),Total,Number,1295
North Dakota,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.485960486
North Dakota,2012,"Child Victims, Trend",Victims (unique count),Total,Number,1402
North Dakota,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.916419695
North Dakota,2013,"Child Victims, Trend",Victims (unique count),Total,Number,1517
North Dakota,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.27857121
North Dakota,2014,"Child Victims, Trend",Victims (unique count),Total,Number,1612
North Dakota,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.55021565
North Dakota,2015,"Child Victims, Trend",Victims (unique count),Total,Number,1760
North Dakota,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.11924612
Ohio,2011,"Child Victims, Trend",Victims (unique count),Total,Number,30601
Ohio,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.35814053
Ohio,2012,"Child Victims, Trend",Victims (unique count),Total,Number,29250
Ohio,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.96069252
Ohio,2013,"Child Victims, Trend",Victims (unique count),Total,Number,27562
Ohio,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.38991392
Ohio,2014,"Child Victims, Trend",Victims (unique count),Total,Number,24936
Ohio,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.442721879
Ohio,2015,"Child Victims, Trend",Victims (unique count),Total,Number,23006
Ohio,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.752597036
Oklahoma,2011,"Child Victims, Trend",Victims (unique count),Total,Number,7836
Oklahoma,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.372814638
Oklahoma,2012,"Child Victims, Trend",Victims (unique count),Total,Number,9627
Oklahoma,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.23941969
Oklahoma,2013,"Child Victims, Trend",Victims (unique count),Total,Number,11553
Oklahoma,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,12.1805415
Oklahoma,2014,"Child Victims, Trend",Victims (unique count),Total,Number,13183
Oklahoma,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,13.81532754
Oklahoma,2015,"Child Victims, Trend",Victims (unique count),Total,Number,14449
Oklahoma,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.03035927
Oregon,2012,"Child Victims, Trend",Victims (unique count),Total,Number,9576
Oregon,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.13634699
Oregon,2013,"Child Victims, Trend",Victims (unique count),Total,Number,10280
Oregon,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.99363917
Oregon,2014,"Child Victims, Trend",Victims (unique count),Total,Number,10088
Oregon,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.74298599
Oregon,2015,"Child Victims, Trend",Victims (unique count),Total,Number,10428
Oregon,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,12.08544647
Pennsylvania,2011,"Child Victims, Trend",Victims (unique count),Total,Number,3287
Pennsylvania,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,1.189604155
Pennsylvania,2012,"Child Victims, Trend",Victims (unique count),Total,Number,3417
Pennsylvania,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,1.247044337
Pennsylvania,2013,"Child Victims, Trend",Victims (unique count),Total,Number,3260
Pennsylvania,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,1.199492975
Pennsylvania,2014,"Child Victims, Trend",Victims (unique count),Total,Number,3262
Pennsylvania,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,1.206952818
Pennsylvania,2015,"Child Victims, Trend",Victims (unique count),Total,Number,3855
Pennsylvania,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,1.432939544
Puerto Rico,2011,"Child Victims, Trend",Victims (unique count),Total,Number,10271
Puerto Rico,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.8518057
Puerto Rico,2012,"Child Victims, Trend",Victims (unique count),Total,Number,8470
Puerto Rico,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.12219533
Puerto Rico,2013,"Child Victims, Trend",Victims (unique count),Total,Number,8850
Puerto Rico,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.96931566
Puerto Rico,2014,"Child Victims, Trend",Victims (unique count),Total,Number,7683
Puerto Rico,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.953297362
Puerto Rico,2015,"Child Victims, Trend",Victims (unique count),Total,Number,6950
Puerto Rico,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.425121815
Rhode Island,2011,"Child Victims, Trend",Victims (unique count),Total,Number,3131
Rhode Island,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,14.22528748
Rhode Island,2012,"Child Victims, Trend",Victims (unique count),Total,Number,3218
Rhode Island,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,14.82867307
Rhode Island,2013,"Child Victims, Trend",Victims (unique count),Total,Number,3132
Rhode Island,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,14.60487109
Rhode Island,2014,"Child Victims, Trend",Victims (unique count),Total,Number,3410
Rhode Island,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,16.03242217
Rhode Island,2015,"Child Victims, Trend",Victims (unique count),Total,Number,3183
Rhode Island,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,15.08216296
South Carolina,2011,"Child Victims, Trend",Victims (unique count),Total,Number,11324
South Carolina,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.52196334
South Carolina,2012,"Child Victims, Trend",Victims (unique count),Total,Number,11439
South Carolina,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.6227875
South Carolina,2013,"Child Victims, Trend",Victims (unique count),Total,Number,10404
South Carolina,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.650758314
South Carolina,2014,"Child Victims, Trend",Victims (unique count),Total,Number,12439
South Carolina,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.47637329
South Carolina,2015,"Child Victims, Trend",Victims (unique count),Total,Number,14856
South Carolina,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,13.60953034
South Dakota,2011,"Child Victims, Trend",Victims (unique count),Total,Number,1353
South Dakota,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.627090252
South Dakota,2012,"Child Victims, Trend",Victims (unique count),Total,Number,1224
South Dakota,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.949834727
South Dakota,2013,"Child Victims, Trend",Victims (unique count),Total,Number,984
South Dakota,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.720397972
South Dakota,2014,"Child Victims, Trend",Victims (unique count),Total,Number,886
South Dakota,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.208986138
South Dakota,2015,"Child Victims, Trend",Victims (unique count),Total,Number,1073
South Dakota,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.07751131
Tennessee,2011,"Child Victims, Trend",Victims (unique count),Total,Number,9243
Tennessee,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.196689065
Tennessee,2012,"Child Victims, Trend",Victims (unique count),Total,Number,10069
Tennessee,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.747822824
Tennessee,2013,"Child Victims, Trend",Victims (unique count),Total,Number,10377
Tennessee,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.959403813
Tennessee,2014,"Child Victims, Trend",Victims (unique count),Total,Number,11695
Tennessee,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,7.823851944
Tennessee,2015,"Child Victims, Trend",Victims (unique count),Total,Number,11362
Tennessee,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,7.58674983
Texas,2011,"Child Victims, Trend",Victims (unique count),Total,Number,63474
Texas,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.158272593
Texas,2012,"Child Victims, Trend",Victims (unique count),Total,Number,62551
Texas,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.955086272
Texas,2013,"Child Victims, Trend",Victims (unique count),Total,Number,64603
Texas,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.169526451
Texas,2014,"Child Victims, Trend",Victims (unique count),Total,Number,65334
Texas,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,9.168105366
Texas,2015,"Child Victims, Trend",Victims (unique count),Total,Number,63781
Texas,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,8.844013489
Utah,2011,"Child Victims, Trend",Victims (unique count),Total,Number,10586
Utah,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.99745227
Utah,2012,"Child Victims, Trend",Victims (unique count),Total,Number,9419
Utah,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.59648096
Utah,2013,"Child Victims, Trend",Victims (unique count),Total,Number,9306
Utah,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.36159818
Utah,2014,"Child Victims, Trend",Victims (unique count),Total,Number,9876
Utah,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.91543303
Utah,2015,"Child Victims, Trend",Victims (unique count),Total,Number,9569
Utah,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.48662131
Vermont,2011,"Child Victims, Trend",Victims (unique count),Total,Number,630
Vermont,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.969982881
Vermont,2012,"Child Victims, Trend",Victims (unique count),Total,Number,649
Vermont,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.199362297
Vermont,2013,"Child Victims, Trend",Victims (unique count),Total,Number,746
Vermont,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.054998214
Vermont,2014,"Child Victims, Trend",Victims (unique count),Total,Number,813
Vermont,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.684371069
Vermont,2015,"Child Victims, Trend",Victims (unique count),Total,Number,921
Vermont,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,7.679927954
Virginia,2011,"Child Victims, Trend",Victims (unique count),Total,Number,5964
Virginia,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.20853371
Virginia,2012,"Child Victims, Trend",Victims (unique count),Total,Number,5826
Virginia,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.127810184
Virginia,2013,"Child Victims, Trend",Victims (unique count),Total,Number,5863
Virginia,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.141164904
Virginia,2014,"Child Victims, Trend",Victims (unique count),Total,Number,6464
Virginia,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.459266918
Virginia,2015,"Child Victims, Trend",Victims (unique count),Total,Number,6112
Virginia,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.267711778
Washington,2011,"Child Victims, Trend",Victims (unique count),Total,Number,6541
Washington,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.125822121
Washington,2012,"Child Victims, Trend",Victims (unique count),Total,Number,6546
Washington,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.122810111
Washington,2013,"Child Victims, Trend",Victims (unique count),Total,Number,7132
Washington,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.473377695
Washington,2014,"Child Victims, Trend",Victims (unique count),Total,Number,7341
Washington,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,4.582213944
Washington,2015,"Child Victims, Trend",Victims (unique count),Total,Number,5894
Washington,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.656685953
West Virginia,2011,"Child Victims, Trend",Victims (unique count),Total,Number,4000
West Virginia,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,10.38036243
West Virginia,2012,"Child Victims, Trend",Victims (unique count),Total,Number,4591
West Virginia,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,11.95246092
West Virginia,2013,"Child Victims, Trend",Victims (unique count),Total,Number,4695
West Virginia,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,12.2827304
West Virginia,2014,"Child Victims, Trend",Victims (unique count),Total,Number,4962
West Virginia,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,13.03316602
West Virginia,2015,"Child Victims, Trend",Victims (unique count),Total,Number,4857
West Virginia,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,12.79518225
Wisconsin,2011,"Child Victims, Trend",Victims (unique count),Total,Number,4750
Wisconsin,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.580347135
Wisconsin,2012,"Child Victims, Trend",Victims (unique count),Total,Number,4645
Wisconsin,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.527059647
Wisconsin,2013,"Child Victims, Trend",Victims (unique count),Total,Number,4526
Wisconsin,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.458943578
Wisconsin,2014,"Child Victims, Trend",Victims (unique count),Total,Number,4642
Wisconsin,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.566489443
Wisconsin,2015,"Child Victims, Trend",Victims (unique count),Total,Number,4840
Wisconsin,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,3.738531437
Wyoming,2011,"Child Victims, Trend",Victims (unique count),Total,Number,703
Wyoming,2011,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.186966916
Wyoming,2012,"Child Victims, Trend",Victims (unique count),Total,Number,705
Wyoming,2012,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.153923196
Wyoming,2013,"Child Victims, Trend",Victims (unique count),Total,Number,720
Wyoming,2013,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,5.217277885
Wyoming,2014,"Child Victims, Trend",Victims (unique count),Total,Number,861
Wyoming,2014,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.206478959
Wyoming,2015,"Child Victims, Trend",Victims (unique count),Total,Number,968
Wyoming,2015,"Child Victims, Trend","Victims (unique count), rate per 1,000 children",Total,Rate,6.969293351
Alabama,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,22755
Alabama,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,1434
Alabama,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unknown,Number,62
Alabama,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,8657
Alaska,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,9942
Alaska,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,514
Alaska,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,3363
Arizona,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,54413
Arizona,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,2488
Arizona,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,28585
Arizona,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,12613
Arizona,2015,Children by Disposition,Victims (duplicate count) by disposition,Indicated,Number,61
Arkansas,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Alternative Response,Number,5829
Arkansas,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,31322
Arkansas,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,1435
Arkansas,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,19924
Arkansas,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,9753
California,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,312747
California,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,68883
California,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unknown,Number,5
California,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,77229
Colorado,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Alternative Response,Number,10438
Colorado,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,23659
Colorado,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unknown,Number,7
Colorado,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,10609
Connecticut,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,18381
Connecticut,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,7538
Delaware,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,11410
Delaware,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Intentionally False,Number,210
Delaware,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,2435
Delaware,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,802
Delaware,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Other,Number,106
Delaware,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,1560
District of Columbia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Alternative Response,Number,3390
District of Columbia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,3561
District of Columbia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Closed With No Finding,Number,166
District of Columbia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,5400
District of Columbia,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,1432
Florida,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,214950
Florida,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Intentionally False,Number,7
Florida,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,80367
Florida,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,46177
Georgia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Alternative Response,Number,54346
Georgia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,45333
Georgia,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,No Alleged Maltreatment,Number,74769
Georgia,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,28443
Hawaii,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,2270
Hawaii,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unknown,Number,16
Hawaii,2015,Children by Disposition,Victims (duplicate count) by disposition,Substantiated,Number,1538
Idaho,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Unsubstantiated,Number,12643
Idaho,2015,Children by Disposition,Nonvictims (duplicate count) by disposition,Intentionally False,Number,805
